"Computer date","Tree ID","Date","Maple Species","Latitude","Longitude","Concrete","Habitat","Shade","Tree Circumference_in","Damage","Other Comments","Leaf Color","Leaves Dropping","Fruit","C16-D"
"09/19/2013 - 4:16pm",,"9/19/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Tree appears to be in good health.  There are early signs of some rot in the tru","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","996864:00:00"
"09/19/2013 - 4:26pm",,"9/19/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","996864:00:00"
"09/20/2013 - 10:03am",,"9/20/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"none","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996888:00:00"
"09/20/2013 - 10:19am",,"9/20/2013","",,,"Yes","School garden","Open (more than 5hr per day of direct sun)",,"N/A","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996888:00:00"
"09/21/2013 - 3:00pm",,"9/20/2013","",,,"Yes","School garden","Open (more than 5hr per day of direct sun)",,"None.","lower branch","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996888:00:00"
"11/11/2013 - 1:44pm",,"9/20/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","996888:00:00"
"09/20/2013 - 9:02am",,"9/20/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"None","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996888:00:00"
"09/20/2013 - 2:45pm",,"9/20/2013","",,,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"Some crotch splitting and many woodpecker holes in a couple of main branches. Se","Mystery tree on it.","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996888:00:00"
"09/21/2013 - 12:47pm",,"9/21/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"None.","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","996912:00:00"
"09/23/2013 - 12:17pm",,"9/22/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Some of the branches are in direct contact with a power line. ","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","996936:00:00"
"09/23/2013 - 12:56pm",,"9/23/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"seems to have spots on the leaves","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","996960:00:00"
"09/23/2013 - 11:58am",,"9/23/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Missing limbs, but they look like they've been trimmed off. Therefore, it's unce","","Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","996960:00:00"
"09/23/2013 - 1:10am",,"9/23/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"N/A","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","996960:00:00"
"09/23/2013 - 8:45am",,"9/23/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"Small amount of lichen on trunk.","","Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","None:  Tree is not fruiting this year","996960:00:00"
"09/23/2013 - 12:52pm",,"9/23/2013","",,,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","996960:00:00"
"09/23/2013 - 11:34am",,"9/23/2013","",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"The tree is healthy, though there are no close branches to the ground.","","Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","None:  Tree is not fruiting this year","996960:00:00"
"09/24/2014 - 8:37am",,"9/24/2013","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","996984:00:00"
"09/27/2013 - 1:59pm",,"9/27/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"no apparent damage","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","997056:00:00"
"09/28/2013 - 5:19pm",,"9/28/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","997080:00:00"
"10/08/2013 - 10:37pm",,"9/28/2013","",,,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",,"none","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","997080:00:00"
"10/01/2013 - 1:14pm",,"9/30/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"some lichen on trunk. noticed one area of tree trunk with bark missing and small","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe","997128:00:00"
"10/01/2013 - 2:26pm",,"10/1/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Missing limbs, but they look like they've been trimmed off. Therefore, it's unce","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe","997152:00:00"
"11/11/2013 - 1:47pm",,"10/1/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","997152:00:00"
"10/02/2013 - 10:04am",,"10/2/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"none","Jake is so cool!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe","997176:00:00"
"10/06/2013 - 5:45pm",,"10/2/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Nest to telephone wire/pole. ","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe","997176:00:00"
"10/03/2013 - 6:56pm",,"10/3/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"none observed","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe","997200:00:00"
"10/07/2013 - 10:15am",,"10/6/2013","",,,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"None","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe","997272:00:00"
"10/07/2013 - 4:23pm",,"10/6/2013","",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"No disease or damage.","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","997272:00:00"
"10/21/2013 - 8:19am",,"10/7/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","997296:00:00"
"10/08/2013 - 7:34am",,"10/7/2013","",,,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","997296:00:00"
"11/06/2013 - 6:46pm",,"10/7/2013","",,,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"There are a lot of spots,especially dark shaded spots all along the left hand si","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997296:00:00"
"10/15/2013 - 11:21pm",,"10/8/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"None.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997320:00:00"
"10/08/2013 - 9:17am",,"10/8/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"Some lichen on trunk. Small hole near base of trunk with missing bark. ","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997320:00:00"
"10/09/2013 - 10:03am",,"10/9/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"There is some disease along the trunk and there is a large hole from rot halfway","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997344:00:00"
"09/17/2013 - 3:11pm",,"10/9/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"None","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997344:00:00"
"10/23/2013 - 10:08am",,"10/10/2013","",,,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"No visible damages.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997368:00:00"
"10/13/2013 - 10:57am",,"10/13/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"None visible.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997440:00:00"
"10/13/2013 - 2:13pm",,"10/13/2013","",,,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997440:00:00"
"10/21/2013 - 8:24am",,"10/14/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997464:00:00"
"10/14/2013 - 1:46pm",,"10/14/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"no apparent damage","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997464:00:00"
"10/27/2013 - 1:03pm",,"10/14/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"There are some missing limbs - appears that they were cut of (by the university?","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997464:00:00"
"10/15/2013 - 12:47pm",,"10/14/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"some lichen on trunk. near bottom of trunk is a small hole and the bark surround","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997464:00:00"
"10/15/2013 - 7:15pm",,"10/15/2013","",,,"Yes","School garden","Open (more than 5hr per day of direct sun)",,"Nothing new.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997488:00:00"
"10/15/2013 - 8:19pm",,"10/15/2013","",,,"No","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997488:00:00"
"10/16/2013 - 9:01am",,"10/16/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Tree appears to be in good health. There are early signs of some rot in the trun","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997512:00:00"
"10/21/2013 - 12:56pm",,"10/16/2013","",,,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997512:00:00"
"10/27/2013 - 1:09pm",,"10/18/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"There are some missing limbs - appears that they were cut of (by the university?","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997560:00:00"
"10/21/2013 - 8:27am",,"10/20/2013","",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997608:00:00"
"10/21/2013 - 8:36pm",,"10/21/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"Nothing new.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997632:00:00"
"10/22/2013 - 9:02am",,"10/21/2013","",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"some lichen on bark. small hole near base of trunk with bark missing.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997632:00:00"
"10/22/2013 - 7:10pm",,"10/21/2013","",,,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997632:00:00"
"10/23/2013 - 10:10am",,"10/23/2013","",,,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"No visible damages","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997680:00:00"
"10/24/2013 - 11:00am",,"10/24/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"no apparent damage","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997704:00:00"
"12/02/2013 - 9:58am",,"11/2/2013","",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"None.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","997920:00:00"
"10/10/2014 - 12:59pm",,"3/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"few damage lost branches","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1000992:00:00"
"09/03/2014 - 11:54am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"none ","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:55am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:57am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"For the most part, the tree is very healthy! However, there is a slight decrease","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:59am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:59am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 12:00pm",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"No","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 12:15pm",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Some leaves at the top are falling/turning, a few small branches are bare","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:52am",,"9/3/2014","Sugar Maple",,,"Yes","School garden","Partially Shaded (2-5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:53am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"None ","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:53am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"None ","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:54am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"None! ","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"09/03/2014 - 11:54am",,"9/3/2014","Sugar Maple",,,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",,"Not too much damage done to the tree - looks fairly healthy","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005240:00:00"
"10/23/2014 - 2:30pm",,"9/10/2014","Norway Maple",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"One major limb broken in windstorm.  ","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/11/2014 - 11:49am",,"9/10/2014","Sugar Maple",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/11/2014 - 10:25am",,"9/10/2014","Silver Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/11/2014 - 2:25pm",,"9/10/2014","Silver Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"Cracks at base of tree.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/15/2014 - 10:00am",,"9/10/2014","Silver Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/15/2014 - 10:00am",,"9/10/2014","Silver Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/15/2014 - 10:39am",,"9/10/2014","Silver Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"No DAMAGE","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/15/2014 - 9:59am",,"9/10/2014","Silver Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"None.","Jake is so cool!!!!!!","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/11/2014 - 10:24am",,"9/10/2014","Red Maple",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"None","Jake is so cool!","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","Early:  Only a few ripe fruits are visible (less than 10%)","1005408:00:00"
"09/11/2014 - 10:29am",,"9/10/2014","Red Maple",,,"No","School paved area","Open (more than 5hr per day of direct sun)",,"NONE","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","1005408:00:00"
"09/15/2014 - 10:00am",,"9/10/2014","Red Maple",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"We observed black seeds on the leaves. ","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","Middle:  Many fruits are ripe","1005408:00:00"
"09/15/2014 - 10:39am",,"9/10/2014","Red Maple",,,"Yes","School paved area","Open (more than 5hr per day of direct sun)",,"deep scrapes ","very little","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1005408:00:00"
